reference_predicted_price,item_name,item_wear,item_is_stattrak,item_rarity,item_quality,item_float_value,item_paint_index
10846,★ Bowie Knife | Blue Steel (Battle-Scarred),Battle-Scarred,False,6,3,0.6782929301261902,42
47373,★ Talon Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.026806997135281563,409
24448,★ Falchion Knife | Case Hardened (Minimal Wear),Minimal Wear,False,6,3,0.10224645584821701,44
59247,★ Butterfly Knife | Lore (Battle-Scarred),Battle-Scarred,False,6,3,0.454739511013031,1105
61733,★ Bayonet | Doppler (Factory New),Factory New,False,6,3,0.002906331093981862,419
13103,★ Paracord Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.018011201173067093,409
57772,★ Flip Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.04818130284547806,569
68182,★ Butterfly Knife | Crimson Web (Field-Tested),Field-Tested,False,6,3,0.27639126777648926,12
17214,★ Nomad Knife,Field-Tested,False,6,3,0.36800459027290344,0
10457,★ Falchion Knife | Lore (Field-Tested),Field-Tested,False,6,3,0.17671769857406616,1106
7375,★ Paracord Knife | Ultraviolet (Field-Tested),Field-Tested,False,6,3,0.2281251698732376,621
7423,★ Survival Knife | Blue Steel (Field-Tested),Field-Tested,False,6,3,0.29042571783065796,42
20171,★ Survival Knife | Doppler (Factory New),Factory New,False,6,3,0.014876564033329487,420
46252,★ M9 Bayonet | Case Hardened (Field-Tested),Field-Tested,False,6,3,0.18914473056793213,44
42276,★ Bayonet | Doppler (Factory New),Factory New,False,6,3,0.03148701786994934,418
